,property_class,property_status,address,neighborhood,location,latitude_pinpoint,longitude_pinpoint,year_of_acquisition,latitude_street,longitude_street,frontview_heading,panoids_years
0,Residential Improved,Disposed,"423 N Oakley Ave,Kansas City, MO 64123-1445",North Indian Mound,"423 N Oakley Ave,Kansas City, MO 64123-1445,(39.116852, -94.516114),geocode,(39.11684760000001, -94.5158182)",39.1168476,-94.5158182,2015,39.116852,-94.516114,90,"{2007: 'SpWKkHgMG6lzFup4ZJchkQ', 2011: 'gnuNPEQDThsWO0P-v5lHZA', 2014: 'ig4UVIWzuaNIFiGOxW759w', 2019: 'mXSipbWS4XOlfzDZFHrUXQ'}"
1,Residential Improved,Disposed,"3638 Monroe Ave.,KANSAS CITY, MO 64128.0",Palestine West And Oak Park Northeast,"3638 Monroe Ave.,KANSAS CITY, MO 64128.0,(39.058893, -94.540686),geocode,(39.0589063, -94.5409481)",39.0589063,-94.5409481,2017,39.058893,-94.540686,90,"{2007: 'ZyADqNs5A-tDc3K6ECxwSA', 2011: 'NHuC02D3tgWwMzZ9QlVh7w', 2014: 'UXbjtvRWsheYCTA6M0GJlA', 2019: 'H2HLzmW5Oj--GTBroT7nxg'}"
2,Residential Improved,Disposed,"3833 Chestnut Ave,Kansas City, MO 64128",Oak Park Northwest,"3833 Chestnut Ave,Kansas City, MO 64128,(39.055912, -94.551254),geocode,(39.0558845, -94.5510093)",39.0558845,-94.5510093,2013,39.055912,-94.551254,90,"{2011: 'jL7TUmOChlfIjeA4juetNw', 2019: 'G5FfA_CXSGgjGZvnJzxcsA'}"
3,Residential Improved,Disposed,"3314 College Ave,Kansas City, MO 64128",Oak Park Northwest,"3314 College Ave,Kansas City, MO 64128,(39.065389, -94.544992),geocode,(39.0653988, -94.54529869999999)",39.0653988,-94.5452987,2013,39.065389,-94.544992,90,"{2007: 'Lv4tBb_snE0LeJLRuYwRbQ', 2011: 'JLtfYvWfyP_t5TQAsSWdag', 2014: 'FuNfeeakK1NxXMuPEqtpZw', 2019: 'SAqXk7jLRoIdzy2hnayw4w'}"
4,Residential Improved,Disposed,"3628  AGNES AVE,Kansas City, MO 64128",Oak Park Northwest,"3628  AGNES AVE,Kansas City, MO 64128,(39.059465, -94.548765),geocode,(39.0594745, -94.5490554)",39.0594745,-94.5490554,2014,39.059465,-94.548765,90,"{2007: 'J78dtjVjXFzFwmQzWLtRfQ', 2011: 'sM_L7o4g62nJ1dWbEvFq6Q', 2014: '1p7FtguUqjV_ZLDI0ShuRQ', 2019: 'usO9r6nQZvxiX8zvxGkm5A'}"
5,Residential Improved,Disposed,"2816 OLIVE ST,KANSAS CITY, MO 64109",Key Coalition,"2816 OLIVE ST,KANSAS CITY, MO 64109,(39.074578, -94.55492),geocode,(39.0746416, -94.5551291)",39.0746416,-94.5551291,2016,39.074578,-94.55492,90,"{2007: 'gyCkmT9lYLlyExiEh61qJQ', 2011: 'BrQBFj_AwEM9ojp_MhghSA', 2014: 'YKXNOflpl1diTGAe-J7AcQ', 2015: 'QNRxNuO25kxYYbFS9mAJNQ', 2019: 'US3eaORe4w9QTiJ9euY9bQ'}"
6,Residential Improved,Disposed,"3601 Brooklyn Ave,Kansas City, MO 64109-2863",Ivanhoe Northeast,"3601 Brooklyn Ave,Kansas City, MO 64109-2863,(39.060923, -94.557933),geocode,(39.0608567, -94.5576272)",39.0608567,-94.5576272,2015,39.060923,-94.557933,90,"{2011: 'qBSIgpUUqsLvTsyYUq5_Sw', 2019: 'bu56hrPjXWTLu3ESMRDVQg'}"
7,Residential Improved,Disposed,"2814 Spruce Ave,Kansas City, MO 64128",East Community Team South,"2814 Spruce Ave,Kansas City, MO 64128,(39.074115, -94.533329),geocode,(39.0740893, -94.53356699999999)",39.0740893,-94.533567,2013,39.074115,-94.533329,90,"{2007: 'WNWwW4xd8ZCifbDxkXdMwA', 2011: '_M_XlCV9RBXu4RnIF2XN5w', 2014: '6TwBAxXoFZvK5Yl462qh9Q', 2019: 'TQaqf5c4AYirGOXA6BDVdA'}"
8,Residential Improved,Disposed,"3016 E 26th St,Kansas City, MO 64127",Washington Wheatley,"3016 E 26th St,Kansas City, MO 64127,(39.078727, -94.54689),geocode,(39.0789056, -94.54678919999999)",39.0789056,-94.5467892,2013,39.078727,-94.54689,0,"{2007: 'GUKcQaJ2hnSdXLrHgMBqKQ', 2011: 'qP0folh-MW4Cw7L586MxcA', 2019: 'tsmUCFWjbHHyTGBKBc4bFQ'}"
9,Residential Improved,Disposed,"2626 TRACY AVE,Kansas City, MO 64108",Beacon Hills,"2626 TRACY AVE,Kansas City, MO 64108,(39.07835, -94.568273),geocode,(39.0783395, -94.5685883)",39.0783395,-94.5685883,2014,39.07835,-94.568273,90,"{2007: '0hFrKaFWDRne1LBf315O2w', 2011: 'kmLvK0g9Ua4SKpWrHd1n8A', 2019: '5RbYmp1VkY0A9_8rJZVhBQ'}"
10,Residential Improved,Disposed,"501 W 86TH TER,Kansas City, MO 64114.0",Western Hills,"501 W 86TH TER,Kansas City, MO 64114.0,(38.971789, -94.596901),geocode,(38.9724978, -94.59684759999999)",38.9724978,-94.5968476,2015,38.971789,-94.596901,0,"{2007: '8YzR5mI4twjP26k5XL_Q1Q', 2011: 'gBzrS7a-aqcM9DE8LNKhAA', 2014: '8X-v-AiWfZUpzzLp8sPsrg', 2019: 'YZkR379L0BfOengzsCi0Ug'}"
11,Residential Improved,Disposed,"3710  INDIANA AVE,Kansas City, MO 64128",Oak Park Northwest,"3710  INDIANA AVE,Kansas City, MO 64128,(39.058294, -94.54421),geocode,(39.058281, -94.544493)",39.058281,-94.544493,2014,39.058294,-94.54421,90,"{2007: 'OBYomTUUZ_ZRxDJfM1jcgg', 2011: '6WYOtWYS57WXz5E7Ph5VJg', 2014: '3j_hA8nJPag8br9whwiUwQ', 2019: '4SduOimirNs0p4uzERlk6Q', 2021: 'JVLgvjuEXbMb76tgxbqwmA'}"
12,Residential Improved,Disposed,"4120  BENTON BLVD,Kansas City, MO 64130",Oak Park Southwest,"4120  BENTON BLVD,Kansas City, MO 64130,(39.050942, -94.546939),geocode,(39.050869, -94.54701999999999)",39.050869,-94.54702,2014,39.050942,-94.546939,90,"{2007: '85VfK38m9H8ivSktRP-unw', 2011: 'iPSIQFu9NUMIkgJ-WT4hLg', 2018: 'R5npFkrVXk5A-IwYJTNpWw', 2019: 'yogNQ-Pk_E9XJCBHe6usLw', 2021: 'qy2YPWBR5B3bGMCE4F19ZA'}"
13,Residential Improved,Disposed,"4617 Lawn Ave,Kansas City, MO 64130",Vineyard,"4617 Lawn Ave,Kansas City, MO 64130,(39.041258, -94.530084),geocode,(39.0412583, -94.5298315)",39.0412583,-94.5298315,2013,39.041258,-94.530084,90,{2011: 'GCSCBFcXwgk8GqNPj8uzag'}
14,Residential Improved,Disposed,"4119 Tracy,Kansas City, MO 64110",Manheim Park,"4119 Tracy,Kansas City, MO 64110,(39.05169, -94.569869),geocode,(39.0517319, -94.5697168)",39.0517319,-94.5697168,2014,39.05169,-94.569869,90,"{2007: 'DRfLRPTqNhvWyiJeYHzgJQ', 2011: 'he2y5L1_wwB6wD4qvaCSbw', 2019: 'KyT1FUEVsp9JS54kiFJD7g'}"
15,Residential Improved,Reserved,"440 N WHEELING AVE,KANSAS CITY, MO 64123",North Indian Mound,"440 N WHEELING AVE,KANSAS CITY, MO 64123,(39.117216, -94.510298),geocode,(39.1172438, -94.5105541)",39.1172438,-94.5105541,2016,39.117216,-94.510298,90,{2019: 'culKoF5Aj62kG70uqlS9PA'}
16,Residential Improved,Disposed,"3426 Bales Ave,Kansas City, MO 64128",Palestine West And Oak Park Northeast,"3426 Bales Ave,Kansas City, MO 64128,(39.063138, -94.542854),geocode,(39.0631291, -94.543083)",39.0631291,-94.543083,2013,39.063138,-94.542854,90,"{2007: 'Kq1N6DF2sy7khwWNkuXJMA', 2011: 'f8zv99XRQ-VIw7zi0Yojng', 2014: 'Jy4GevsMdqXoqAxTnifPtw', 2019: 'oona8tWyptO5QhzpNtMhOQ'}"
17,Residential Improved,Disposed,"5104 E 39TH ST,KANSAS CITY, MO 64128",Knoches Park,"5104 E 39TH ST,KANSAS CITY, MO 64128,(39.055072, -94.524288),geocode,(39.0552844, -94.5243546)",39.0552844,-94.5243546,2013,39.055072,-94.524288,180,"{2008: 'uj2qcgf5KpkKjh0IevKc3g', 2009: 'A0lgZcLs4p-MP0aW6igYbQ', 2011: 'PQr3HK5zq3-4r8JW-ZPw3w', 2013: '8SW5wl9_ruWfYiotwDKztQ', 2014: 'Qc3nAUVyHEqiEGMHp-7TIg', 2016: '0rgLOGaXLSjJ3Bq_yDrRzA', 2017: '9RnNtPLzUtn_DHlfo8je8w', 2019: 'LtTeB_jlg7qkSmLG0ickdA'}"
18,Residential Improved,Disposed,"5209 HIGHLAND AVE,Kansas City, MO 64110.0",Blue Hills,"5209 HIGHLAND AVE,Kansas City, MO 64110.0,(39.032019, -94.565363),geocode,(39.0320147, -94.5650519)",39.0320147,-94.5650519,2015,39.032019,-94.565363,90,"{2007: '71Q3V_PRaGSDXMp5kffnkw', 2011: 'sjsjekz_Y0JKgVn15roWsA', 2014: 'wL1SiwNihxHVnxYCLDh8aA', 2019: 'TOGepMtuOhOBKv6Lyil_yA'}"
19,Residential Improved,Disposed,"3806 MONTGALL AVE,KANSAS CITY, MO 64128",Oak Park Northwest,"3806 MONTGALL AVE,KANSAS CITY, MO 64128,(39.056891, -94.552363),geocode,(39.0568983, -94.5526209)",39.0568983,-94.5526209,2013,39.056891,-94.552363,90,"{2011: 'Psrd1TvqbQR6hxC1i_orjg', 2014: 'bjkoLZ-sZ1os_5BirHWguw', 2019: 'YdvzUQyKTtoUoOYgn2tm7w'}"
20,Residential Improved,Disposed,"3221 E 29TH ST,Kansas City, MO 64128",Santa Fe,"3221 E 29TH ST,Kansas City, MO 64128,(39.072426, -94.545032),geocode,(39.0722284, -94.5451375)",39.0722284,-94.5451375,2014,39.072426,-94.545032,180,"{2007: 'Kx2YK3QACXgeMSbdFPqLmQ', 2011: '7rhIhGZs3i5CKLAzHmIqwg', 2014: 'qCyeZ13c0lH92vM-OcQ93A', 2019: 'BNf65DFXzPQupcQLx6RJBg'}"
21,Residential Improved,Disposed,"3302 E 22ND ST,Kansas City, MO 64127",Washington Wheatley,"3302 E 22ND ST,Kansas City, MO 64127,(39.085377, -94.544515),geocode,(39.085567, -94.5444174)",39.085567,-94.5444174,2013,39.085377,-94.544515,0,"{2007: 'bxXdc0QEXRLSoKTIDA6MDg', 2011: 'QGYMzO1Tab04tVX0oPYhSA', 2019: 'SFKYV_i9vGJ0oa_HqcFD_Q'}"
22,Residential Improved,Disposed,"1806 E 67TH ST,KANSAS CITY, MO 64132",Neighbors United For Action,"1806 E 67TH ST,KANSAS CITY, MO 64132,(39.00563, -94.56535),geocode,(39.0058794, -94.5653038)",39.0058794,-94.5653038,2013,39.00563,-94.56535,0,"{2007: 'fP5tb-JLVXmdseCgSFErYw', 2011: 'dcM3UeeKnDl2qtMJjXOXCQ', 2017: 'cPNyybIdMMlNXrO1IE-qzQ', 2019: '2qYbRw6V5JemAKslRys9zA'}"
23,Residential Improved,Disposed,"3416 Park Ave,Kansas City, MO 64109",Key Coalition,"3416 Park Ave,Kansas City, MO 64109,(39.063932, -94.55662),geocode,(39.06394, -94.5568907)",39.06394,-94.5568907,2013,39.063932,-94.55662,90,"{2011: 'J0uFhJ7RxnWs1g8QcgjPow', 2019: 'ZJYuYxUzC9Wpb2HFUHzscg'}"
24,Residential Improved,Reserved,"3208 Spruce Ave,KANSAS CITY, MO 64128",Knoches Park,"3208 Spruce Ave,KANSAS CITY, MO 64128,(39.066946, -94.533405),geocode,(39.0669883, -94.5336576)",39.0669883,-94.5336576,2017,39.066946,-94.533405,90,"{2011: 'LQWIbJwlfqUq73zXv8Y7rg', 2014: 'imCWqrfD5AqP4sWfh7Ay9A', 2017: '5pS9Zr5nifQBirOIMhMREA', 2019: '1IQqV0fiLVxvDZqRSr7G-w'}"
25,Residential Improved,Disposed,"3236 Garfield Ave,Kansas City, MO 64109",Key Coalition,"3236 Garfield Ave,Kansas City, MO 64109,(39.066745, -94.558794),geocode,(39.0668538, -94.5590376)",39.0668538,-94.5590376,2013,39.066745,-94.558794,90,"{2007: 'TCdKD_pDj5NQBmol2AcgPQ', 2011: '4R3oq1GVe0KtNx9EUOs3_g', 2019: 'XYxxdEBa3BhJa6Nk8-Opug'}"
26,Residential Improved,Disposed,"6830 Bellefontaine Ave,Kansas City, MO 64132",Self Help Neighborhood Council,"6830 Bellefontaine Ave,Kansas City, MO 64132,(39.002061, -94.550858),geocode,(39.00205950000001, -94.5511806)",39.0020595,-94.5511806,2013,39.002061,-94.550858,90,"{2011: 'XfdywYChi_pNsZLox1k9dA', 2019: 'bH3ibnXek09DMP4u0L_EvQ'}"
27,Residential Improved,Disposed,"3512 INDEPENDENCE AVE,Kansas City, MO 64127",Scarritt Point,"3512 INDEPENDENCE AVE,Kansas City, MO 64127,(39.105919, -94.539804),geocode,(39.1061549, -94.5398403)",39.1061549,-94.5398403,2015,39.105919,-94.539804,180,"{2007: 'wqlLhNuPwT7ywBJyIs5bZQ', 2011: 'TknD5Yx_T3lH5N5acFz40w', 2013: 'Nsbfd3Z36LRBlQjtV71jDA', 2014: 'bSmVSdcJEfYPmJyVEuTENQ', 2015: '8daQHkEDNVy12F7g8sqo7A', 2016: 'YvYaQvvASbH6IBZ3TbLrDg', 2017: 'c8aaLLVl7Qw2MblG7haQ_w', 2018: 'sR5TccSpM9BDsmt-xxzqQg', 2019: 'qttjidvw6FdgWPH_tVhLpg', 2021: '9Zb4yurpdRlGrjIrtIqJWQ'}"
28,Residential Improved,Disposed,"3010 ASKEW AVE,KANSAS CITY, MO 64128",Ingleside,"3010 ASKEW AVE,KANSAS CITY, MO 64128,(39.070795, -94.541297),geocode,(39.070862, -94.5416329)",39.070862,-94.5416329,2013,39.070795,-94.541297,90,"{2007: 'TqpRlnXdiCGWRYzHpjdJ2Q', 2011: 'W1phQfR0Q9_yIZ0mW1zz4g', 2014: 'by-R3_T4kvgUzIfpSAutNw', 2019: 'Tkofc_zigmcQQSx7xLzP0Q'}"
29,Residential Improved,Disposed,"2412 Spruce Ave,Kansas City, MO 64127",East Community Team South,"2412 Spruce Ave,Kansas City, MO 64127,(39.081623, -94.53279),geocode,(39.08171189999999, -94.5330937)",39.0817119,-94.5330937,2013,39.081623,-94.53279,90,"{2007: 'fYa4TJfXbjyaZGUsILjuSg', 2011: 'yoNNk_ALudznR7tgIAHfhg', 2014: 'TSRCQb2kDrYlHR-e5xVJ_w', 2019: '8-4A-chnqbsfCYZqANgkCA'}"
30,Residential Improved,Disposed,"1819 E 67TH TER,Kansas City, MO 64125",Neighbors United For Action,"1819 E 67TH TER,Kansas City, MO 64125,(39.004702, -94.564819),geocode,(39.0045371, -94.5648001)",39.0045371,-94.5648001,2015,39.004702,-94.564819,0,"{2007: 'ajcFd2xE7eWD5tmo2DwhiA', 2011: 'DpYu_rx7otz8sI-RMPvs1A', 2019: 'JMYbaYIU6SbDr45gG2GCIQ'}"
31,Residential Improved,Disposed,"2629 Jackson Ave,Kansas City, MO 64127",East Community Team South,"2629 Jackson Ave,Kansas City, MO 64127,(39.077323, -94.534055),geocode,(39.0772183, -94.5337784)",39.0772183,-94.5337784,2013,39.077323,-94.534055,90,"{2007: 'mnyhwzlgAiwRlEj_q0s5og', 2011: 'sDsUZehw48929a71do1jHg', 2014: 'GdcEJF2ML0p7HXJIt_Fj6Q', 2015: 'FF2TfK_XtaZBvQAqgTjlIg', 2019: 'oHT0Os5kI4HqdKft-0WgPg', 2021: 'Q6jYHlE8l3YJEUDHumT9Lw'}"
32,Residential Improved,Disposed,"4010  WOODLAND AVE,Kansas City, MO 64110",Ivanhoe Southwest,"4010  WOODLAND AVE,Kansas City, MO 64110,(39.053519, -94.562988),geocode,(39.05356, -94.5632183)",39.05356,-94.5632183,2014,39.053519,-94.562988,90,"{2007: 'SFKX58mPVf-rt9SPUEb21Q', 2011: 'W9PNPnyVJqUMCjO8Ne5zmg', 2014: '4j3UlU5w2NT718eAGhU1PQ', 2016: 'XPC9NXQsrCLduE5cyNSqMg', 2019: 'PGfbcbFbHnJtWi9X1ed_Mw'}"
33,Residential Improved,Disposed,"419 Bales Ave,Kansas City, MO 64124",Scarritt Point,"419 Bales Ave,Kansas City, MO 64124,(39.108853, -94.540342),geocode,(39.1088311, -94.5401727)",39.1088311,-94.5401727,2013,39.108853,-94.540342,90,"{2007: 'xqrolGzAk38TtQJ6mGGE2A', 2011: 'anQvmMnST41wleue276oMg', 2014: 'UWeWRf-hp1zoywv99MAQzg', 2019: 'qwnppxNjggawts71FF6vqw'}"
34,Residential Improved,Disposed,"3834 E 56th St,Kansas City, MO 64130",Swope Parkway-Elmwood,"3834 E 56th St,Kansas City, MO 64130,(39.024184, -94.539722),geocode,(39.0243746, -94.53973959999999)",39.0243746,-94.5397396,2013,39.024184,-94.539722,180,"{2007: 'BGkPlprBmOyB9I-s_VRLmg', 2011: 'NndsKTmFJuY_u7wd6CyhTA', 2019: 'GwxelvhJw1Mv7hg1NYOSQg'}"
35,Residential Improved,Disposed,"801 UTLEY AVE,KANSAS CITY, MO 64125",North Blue Ridge,"801 UTLEY AVE,KANSAS CITY, MO 64125,(39.100636, -94.482632),geocode,(39.1006393, -94.4824103)",39.1006393,-94.4824103,2013,39.100636,-94.482632,90,"{2008: 'A9KO1JtoiQ4q_z3O5pOe3Q', 2011: '_SFvkS-K20ck_dyIxCeftg', 2014: '5baGK1ax453zjpEzmwwOLA', 2019: 'fhfpuwkRXx8BVMpd731ZAg'}"
36,Residential Improved,Disposed,"3933 SOUTH BENTON AVE,Kansas City, MO 64130",Oak Park Southwest,"3933 SOUTH BENTON AVE,Kansas City, MO 64130,(39.054129, -94.550205),geocode,(39.0541176, -94.54996179999999)",39.0541176,-94.5499618,2015,39.054129,-94.550205,90,"{2007: 'OlGIj7xAZgZ43pBey85rxw', 2011: 'RnZUyzku6C8FREsv0VfDEg', 2019: 'IYwxgIivuDtgq-A5bD620w'}"
37,Residential Improved,Disposed,"3514 Agnes Ave,Kansas City, MO 64128",Oak Park Northwest,"3514 Agnes Ave,Kansas City, MO 64128,(39.062087, -94.548611),geocode,(39.0620894, -94.54892439999999)",39.0620894,-94.5489244,2013,39.062087,-94.548611,90,"{2007: 'HcPMvPRiM7HNgak3Q9r76A', 2011: 'gdyF2JF7GzcFSSpIOhp8hA', 2014: 'tZA_QmQrvsMJVaiWFoSSuQ', 2019: 'dYmec-qNwSXc5XuLeSmBwA'}"
38,Residential Improved,Disposed,"6726 ASKEW AVE,Kansas City, MO 64132",Self Help Neighborhood Council,"6726 ASKEW AVE,Kansas City, MO 64132,(39.003775, -94.544977),geocode,(39.0037958, -94.5452181)",39.0037958,-94.5452181,2015,39.003775,-94.544977,90,"{2007: 'tojOrw-SIp2g9x_Y-zuB9Q', 2011: 'Z1OMkAX2yhQqmRHAzIR-5Q', 2019: 'LgJK6hyzN8u46-ugW3m9uw'}"
39,Residential Improved,Disposed,"5127 PROSPECT AVE,KANSAS CITY, MO 64130",North Town Fork Creek,"5127 PROSPECT AVE,KANSAS CITY, MO 64130,(39.032834, -94.554804),geocode,(39.03278419999999, -94.5544441)",39.0327842,-94.5544441,2013,39.032834,-94.554804,90,{2019: 'kEWHQnq3Ct6ov6yT97PDyg'}
40,Residential Improved,Reserved,"3508 E 36TH ST,Kansas City, MO 64130",Palestine West And Oak Park Northeast,"3508 E 36TH ST,Kansas City, MO 64130,(39.060544, -94.542475),geocode,(39.060738, -94.5424184)",39.060738,-94.5424184,2015,39.060544,-94.542475,0,"{2007: 'V5EkdErNKP-Rh3ha4LB1Gg', 2011: '6C8FpOpVbpmClwYmMkxdDA', 2014: 'ZDZOmdc6g2NLR-QDmVlCkg', 2019: 'dZQh9v_6S1D1JFszj6cz_Q'}"
41,Residential Improved,Disposed,"4322 Bales Ave,Kansas City, MO 64130",Oak Park Southeast,"4322 Bales Ave,Kansas City, MO 64130,(39.046915, -94.543644),geocode,(39.0469277, -94.543929)",39.0469277,-94.543929,2013,39.046915,-94.543644,90,"{2007: 'Wpe42P2negeg_D8EVcqHDQ', 2011: 'v-rU8Rbp64OVAyu-rLEeCg', 2019: 'TddUROKb0qCQswd6g_8iOQ'}"
42,Residential Improved,Disposed,"5621 HIGHLAND AVE,KANSAS CITY, MO 64110",Blue Hills,"5621 HIGHLAND AVE,KANSAS CITY, MO 64110,(39.024221, -94.565821),geocode,(39.0242253, -94.5654852)",39.0242253,-94.5654852,2013,39.024221,-94.565821,90,"{2007: '-VnqbT3fEs_pR2WcD2nCAg', 2011: 'n9WDPWE1yuCnKFAnWE4w_Q', 2014: 'H2mFUPGBSsrO1Tu284SY-A', 2019: '8FNRNg9JdTQ-mBkf2-D_Bw', 2021: 'kSsbTYy31sZEiNjQHDeE4g'}"
43,Residential Improved,Disposed,"2501 PROSPECT AVE,KANSAS CITY, MO 64127",Washington Wheatley,"2501 PROSPECT AVE,KANSAS CITY, MO 64127,(39.080547, -94.55233),geocode,(39.0806103, -94.5520267)",39.0806103,-94.5520267,2013,39.080547,-94.55233,90,"{2007: 'CC4uh_AJzeakvDfQqUi2Sg', 2011: 'g1MroP95SVZ17SU0Gp6EUQ', 2019: 'MEaJGeJmutrrhBu1-687oQ'}"
44,Residential Improved,Reserved,"4401  GARFIELD AVE,Kansas City, MO 64130",Ivanhoe Southeast,"4401  GARFIELD AVE,Kansas City, MO 64130,(39.046468, -94.559886),geocode,(39.0465204, -94.5596017)",39.0465204,-94.5596017,2014,39.046468,-94.559886,90,"{2007: 'pKiZ-_kYMA29ehQvq0I7cw', 2011: 'Sx-rXVHk4rJIa6dBrcnzXw', 2014: 'LA2fai0v84NoRctvyqt9rQ', 2019: '0BmllP11o59w1ASAdp5kuw'}"
45,Residential Improved,Disposed,"6130 SOUTH BENTON AVE,Kansas City, MO 64132",South Town Fork Creek,"6130 SOUTH BENTON AVE,Kansas City, MO 64132,(39.014659, -94.552588),geocode,(39.0146776, -94.55287279999999)",39.0146776,-94.5528728,2015,39.014659,-94.552588,90,"{2007: 'wwmKiBJAWRRCPyCcwNh92Q', 2011: 'p4gul4QrrHLPffrVzUnK9g', 2019: 'YZqiybAxT3wfhxVuqPlexQ'}"
46,Residential Improved,Disposed,"4325 MYRTLE AVE,KANSAS CITY, MO 64130",Vineyard Northwest,"4325 MYRTLE AVE,KANSAS CITY, MO 64130,(39.046769, -94.537887),geocode,(39.0467249, -94.53764509999999)",39.0467249,-94.5376451,2013,39.046769,-94.537887,90,"{2007: 'nMIdl5fJZtPmY9IIbE1dUQ', 2011: 'VQ1aEnFKIJZC_p8Se3C9fw', 2014: 'F75wwEghlcjbWOKEBjZkPQ', 2019: 'ZoFM9x4J0j67R8TeH_JGRA'}"
47,Residential Improved,Disposed,"1712 Elmwood Ave,Kansas City, MO 64127",East Community Team North,"1712 Elmwood Ave,Kansas City, MO 64127,(39.090202, -94.529071),geocode,(39.0902331, -94.52931799999999)",39.0902331,-94.529318,2013,39.090202,-94.529071,90,"{2007: 'tWEVLDpNKdbAcsLTgKLvoQ', 2011: 'YQ2TDdW8bTXssXg3Hrecaw', 2014: 'hRIw65Qf8eBqZgbS9CJieQ', 2019: 'jy6DNK_Yza5PLB2LmgF3iw'}"
48,Residential Improved,Disposed,"621 Newton Ave,Kansas City, MO 64125",Sheffield,"621 Newton Ave,Kansas City, MO 64125,(39.103757, -94.503972),geocode,(39.1037567, -94.50374070000001)",39.1037567,-94.5037407,2013,39.103757,-94.503972,90,"{2008: 'ukiqHv8YZn__2kTSyHS2iQ', 2011: 'Tqm_sPQDsNIOd5Yx_Xlwrg', 2014: '7v3SBZ3jlkNtg_fbwMJ2pA', 2015: '6Ae_kowaKtwTsTODgs-lhA', 2016: 'heKDGRc3j5RfRgCODtbuKw', 2017: 'QMjd7HX6ZI71KDFR1FlJlQ', 2019: 'aTeFx6A5x4xC3hIPuSVaCA', 2021: 'ARKHvVASA3k0WFm1B_FbXw'}"
49,Residential Improved,Reserved,"4341 GARFIELD AVE,Kansas City, MO 64130",Ivanhoe Southeast,"4341 GARFIELD AVE,Kansas City, MO 64130,(39.046895, -94.559865),geocode,(39.0469251, -94.559642)",39.0469251,-94.559642,2015,39.046895,-94.559865,90,"{2007: '9WGJ621wwGZhgSa5RKr3kA', 2011: 'NJb3buVH_hC2tdae9Mt15g'}"
50,Residential Improved,Disposed,"3312 Norton Ave,Kansas City, MO 64128",Palestine East,"3312 Norton Ave,Kansas City, MO 64128,(39.065165, -94.535808),geocode,(39.0651886, -94.5360742)",39.0651886,-94.5360742,2013,39.065165,-94.535808,90,"{2007: '8MNrm3CTOBi8keJLrCJCRA', 2011: 'pzI86dRkB-JYkqbavCc5pQ', 2014: 'P8q6hZ3Kwlkb95pcwuGDVQ', 2019: 'DMYwgYQzX446bRoq6UXF_w'}"
51,Residential Improved,Disposed,"1615 TOPPING AVE,KANSAS CITY, MO 64126",West Blue Valley,"1615 TOPPING AVE,KANSAS CITY, MO 64126,(39.09158, -94.514844),geocode,(39.09156369999999, -94.5146103)",39.0915637,-94.5146103,2016,39.09158,-94.514844,90,"{2008: 'wilygGmgrO1EX5DUAlhtDg', 2011: 'IHUn1BfTgL-V6WQQyHHCEQ', 2014: 'QSuZJV_mfOsW_mpIJ5uxEA', 2019: '3KzHx3jhzyK0egH6p0VLZA'}"
52,Residential Improved,Disposed,"3216  MYRTLE AVE,Kansas City, MO 64128",Palestine East,"3216  MYRTLE AVE,Kansas City, MO 64128,(39.066883, -94.537),geocode,(39.0668898, -94.5372423)",39.0668898,-94.5372423,2014,39.066883,-94.537,90,"{2007: 'GgwP5eehh3gfkCsfXLV-3A', 2011: 'TDMhJTywKB0ogLtARuhQjQ', 2014: 'L2gxBWHwciaY2Dve98dotA', 2019: '0NOqCle5BDmNSGJOCzGsgQ'}"
53,Residential Improved,Disposed,"6938 College Ave,Kansas City, MO 64132",Self Help Neighborhood Council,"6938 College Ave,Kansas City, MO 64132,(39.000065, -94.548632),geocode,(39.0000737, -94.54892439999999)",39.0000737,-94.5489244,2013,39.000065,-94.548632,90,"{2011: 'DDVZ8Qdqw4_EknQz7TznZg', 2019: '6RDwbxvbnhZ0s_4kQGFuXA'}"
54,Residential Improved,Reserved,"4607 SOUTH BENTON AVE,Kansas City, MO 64130",Oak Park Southwest,"4607 SOUTH BENTON AVE,Kansas City, MO 64130,(39.042375, -94.551051),geocode,(39.0423617, -94.55084819999999)",39.0423617,-94.5508482,2015,39.042375,-94.551051,90,"{2007: 'FmTloxsE1CxHDcc-ErMEww', 2011: 'ma1qMSMV-YOh6dL6ipKvFw', 2019: 'mRKg480-7T9j3gp-3F-lbQ'}"
55,Residential Improved,Reserved,"4511 Prospect Ave,Kansas City, MO 64130",Oak Park Southwest,"4511 Prospect Ave,Kansas City, MO 64130,(39.044166, -94.55419),geocode,(39.0441432, -94.55387999999999)",39.0441432,-94.55388,2013,39.044166,-94.55419,90,"{2007: '1iFUsJKeZ5kNXIf1eZENyA', 2009: '1YJkOX0f_L6weiF41Yot0Q', 2011: 'Gs7qDt_hEtWzg6XVGPyJxQ', 2014: 'cO9Qi18bioI4VLl6uoOqDw', 2016: 'IAa70yJqz4Y6Hi0cRCe9Lg', 2018: '3hc1YdrgZf5ZlFDmwAjdSw', 2019: 'G14mO39q-K2eimVGGxZEzw', 2021: 'iTqzk46DPYRywTemTQ1Wwg'}"
