,property_class,property_status,address,neighborhood,location,latitude_pinpoint,longitude_pinpoint,year_of_acquisition,latitude_street,longitude_street,frontview_heading,panoids_years
563,Residential Improved,Disposed,"3419 E 35TH ST,KANSAS CITY, MO 64128",Palestine West And Oak Park Northeast,"3419 E 35TH ST,KANSAS CITY, MO 64128,(39.06231, -94.543098),geocode,(39.0621151, -94.5430428)",39.0621151,-94.5430428,2016,39.06231,-94.543098,0,"{2007: '7D0SwlB9SkgUuAxyeVMHTA', 2011: 'VA3neTRDYf7U8DvaYy-NTg', 2014: 'rCENseE3iOpDz8jQ9aAJbg', 2019: 'pDZfMHORSG_yLZsnY2ALcA'}"
564,Residential Improved,Disposed,"6719 CHESTNUT AVE,KANSAS CITY, MO 64132",Self Help Neighborhood Council,"6719 CHESTNUT AVE,KANSAS CITY, MO 64132,(39.004301, -94.554266),geocode,(39.0043469, -94.5540412)",39.0043469,-94.5540412,2013,39.004301,-94.554266,90,"{2007: 'eJMmVJdNFZef8tVbinu7ZQ', 2011: 'nIfIybfBZwpjDPq98PC-Jg', 2019: 'g765w_z_SIh_dkkD_C2rvA', 2021: '4U2UbNcZroFn7lE5pPGE_g'}"
565,Residential Improved,Disposed,"2807 E 33RD ST,Kansas City, MO 64128",Oak Park Northwest,"2807 E 33RD ST,Kansas City, MO 64128,(39.06617, -94.55022),geocode,(39.0659581, -94.5502338)",39.0659581,-94.5502338,2014,39.06617,-94.55022,180,"{2007: '11OQfbwN-MWdj61RpuGFDQ', 2011: 'Yn8s8hks-4NsuAfWbgPtbg', 2016: '-L_iWecHgykbGMAg6mtx2Q', 2018: 'HIJh8vonTUrsh4Gs8Gc5fQ', 2019: '1e3bU2NW1AF6Dkng_u6cEQ'}"
566,Residential Improved,Disposed,"1656 Topping Ave,Kansas City, MO 64127",East Blue Valley,"1656 Topping Ave,Kansas City, MO 64127,(39.090692, -94.514896),geocode,(39.0906908, -94.5151337)",39.0906908,-94.5151337,2017,39.090692,-94.514896,90,"{2008: 'zFHRblQXl2PAo-sdtEF9tg', 2011: 'B4pTHdJHVotdSFelEEaZMg', 2014: 'xVTLob3MVKrY05sxHOzhHA', 2019: 'TXVNsdrtEpe94pa-ZZ3ymg'}"
567,Residential Improved,Disposed,"3838 ROBERTS ST,Kansas City, MO 64114",Scarritt Point,"3838 ROBERTS ST,Kansas City, MO 64114,(39.106704, -94.53581),geocode,(39.1068991, -94.5358325)",39.1068991,-94.5358325,2015,39.106704,-94.53581,180,"{2011: 'E51H06BrrK1atIb5SnZZ5w', 2014: 'trbCKjJ6vlszdQxTDyzKWw', 2019: 'qPm2JiS2Q4PRVsVcWQR9WA'}"
568,Residential Improved,Disposed,"4104 Wayne Ave,KANSAS CITY, MO 64110",Ivanhoe Southwest,"4104 Wayne Ave,KANSAS CITY, MO 64110,(39.05197, -94.565401),geocode,(39.0519722, -94.56564639999999)",39.0519722,-94.5656464,2017,39.05197,-94.565401,90,"{2007: '3Ml59Pb7j8EowOS1SawK1w', 2011: 'qRwOBoYldPVMmbV5BA7Gbg', 2019: 'rrwRzCi6K1Ip248ymN7mbA'}"
569,Residential Improved,Disposed,"3836 Montgall Ave,Kansas City, MO 64128",Oak Park Northwest,"3836 Montgall Ave,Kansas City, MO 64128,(39.055902, -94.552407),geocode,(39.0558893, -94.5527116)",39.0558893,-94.5527116,2013,39.055902,-94.552407,90,"{2011: 'Mlifg5y9UljCA7J_PhEAgA', 2014: 'q46kpuN7logDreKCJZ5mfA', 2019: 'PCxvxyApay-vTfEdnj5WUQ'}"
570,Residential Improved,Disposed,"748 Lewis Ave,KANSAS CITY, MO 64125.0",North Blue Ridge,"748 Lewis Ave,KANSAS CITY, MO 64125.0,(39.100637, -94.479664),geocode,(39.1006538, -94.47991569999999)",39.1006538,-94.4799157,2017,39.100637,-94.479664,90,"{2008: 'ssDCIInIYwLmcUgJcg1_mw', 2011: 'xVeHKFYa2wEycu52LgZUCw', 2014: 'frriNcPpHzARE-BQFcNxDQ', 2019: 'sF9ZJOcS3NxAnxx0UCL0aw'}"
571,Residential Improved,Disposed,"4508 ASKEW AVE,KANSAS CITY, MO 64130",Oak Park Southeast,"4508 ASKEW AVE,KANSAS CITY, MO 64130,(39.04385, -94.542656),geocode,(39.0438789, -94.5429219)",39.0438789,-94.5429219,2013,39.04385,-94.542656,90,"{2007: 'KmhM1m5HVxeX4x0XosrTgQ', 2011: 'noXykNPLBHXOoeob8ebftg', 2014: 'cvCfi4qkVsAN3h6njE3Y3A', 2019: 'qwaK0qFYDAJeTFHedUYirA', 2021: '0trrQJoJ9RMeuqLGDtERqg'}"
572,Residential Improved,Reserved,"2303 Jackson Ave,Kansas City, MO 64127",East Community Team South,"2303 Jackson Ave,Kansas City, MO 64127,(39.083405, -94.533748),geocode,(39.08352199999999, -94.5335368)",39.083522,-94.5335368,2013,39.083405,-94.533748,90,"{2007: '2oTw2n0YMxcrWhaInzBpBw', 2011: 'dDzCYZj9uqq13S2cvmaewQ', 2014: 'H_ARZyRiZcUVOG6teJsaDQ', 2015: 'M2NAyQCF2UboxRQUJ0GeEw', 2019: 'CQQEqw-xfoODUOMwr24jdQ', 2021: 'm4x6iX-J20DUBLTdq41qhQ'}"
